manifest_schema_version	pilot_order	pilot_role	canonical_id	selected_accession	fasta_package_path	fasta_size_bytes	fasta_sha256	ncbi_package_size_bytes	ncbi_package_sha256	ncbi_md5_validation	datasets_version	retrieval_timestamp_local	source_git_commit	source_pilot_sha256
1	1	normal_refseq_near_median_1	CANON_01478	GCF_044908355.1	ncbi_dataset/data/GCF_044908355.1/GCF_044908355.1_ASM4490835v1_genomic.fna	8461876	2c0a23078eadf5167134505f8ae9cb4ffbd0d6ae9a4ff74bc5530021361fd8c2	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	2	normal_refseq_near_median_2	CANON_00395	GCF_018130945.1	ncbi_dataset/data/GCF_018130945.1/GCF_018130945.1_ASM1813094v1_genomic.fna	8469881	808296f363f01bfc9152786ec50e69a2b47c5c13da87910462f244ff7cd2c247	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	3	normal_genbank_singleton_near_median	CANON_00696	GCA_025961105.1	ncbi_dataset/data/GCA_025961105.1/GCA_025961105.1_ASM2596110v1_genomic.fna	8938901	fea5de5797de3e84fbb9dd910220f4fc44fa3d8f09f129e866e642b3157d58be	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	4	fragmented_extreme	CANON_00522	GCA_023073275.1	ncbi_dataset/data/GCA_023073275.1/GCA_023073275.1_ASM2307327v1_genomic.fna	8593604	7ee813fb6b89026e3050f2ca03ababe510bf7514f095ffb60ef600b0c88f2067	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	5	genome_size_outlier_isolated	CANON_02183	GCA_943370715.1	ncbi_dataset/data/GCA_943370715.1/GCA_943370715.1_JJ-OR11-01-13-m2-bin134_genomic.fna	3931248	cc5973446d07f2f7ff14b824e45d7a3f46a9e8ce1e017e37e702d0e322beb5d1	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	6	gc_percent_outlier_isolated	CANON_01538	GCA_047621665.1	ncbi_dataset/data/GCA_047621665.1/GCA_047621665.1_ASM4762166v1_genomic.fna	4064724	b0ed6caf47e1451639d2a511ce9c2342267a3813721ddffa6779a334c3da5dce	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	7	missing_gc_percent_isolated	CANON_00202	GCF_005165845.1	ncbi_dataset/data/GCF_005165845.1/GCF_005165845.1_ASM516584v1_genomic.fna	8397748	c25edb2374eae0da04d9c4f851c47df38d63a2f76688ad331e2d3573c89878f1	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	8	refseq_to_genbank_fallback_isolated	CANON_00272	GCA_014194605.1	ncbi_dataset/data/GCA_014194605.1/GCA_014194605.1_ASM1419460v1_genomic.fna	9254581	1090cd5fc77aaf987a20b802f0759cd33d54c1df11194bf87179f4f696cc761c	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	9	broken_pair	CANON_02143	GCA_059803835.1	ncbi_dataset/data/GCA_059803835.1/GCA_059803835.1_ASM5980383v1_genomic.fna	9395685	71aa21b78c8ccd4de589877f0b9a6265d64386ea69a252616e255620437c5c91	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
1	10	synteny_threshold_edge	CANON_02198	GCA_964504705.1	ncbi_dataset/data/GCA_964504705.1/GCA_964504705.1_binchicken_co322_212_genomic.fna	4627591	30266747eb9aa072f0b35c660f73b8aa619ae53c8855a92ac9e483ae927db8d4	21251576	0da432a4240914dad9eb2156c7407744abd6b0d1d47865bd7922dcb990bc831c	pass	18.33.1	2026-08-15T07:27:42+07:00	3dc7d084f5d1c50dafc83836b14e754430f33425	4f4d467c204a91179b50b92ef340d04aac8d4ad777f2ffc4e2b5c90afa739d67
